Orig_order	Day	Time	SID-5	Student Link	Instructor Link
1	2020-10-01 Thursday	4:00	80652	https://ca.bbcollab.com/guest/d56aef0fee3f442197a825e05415465a	https://ca.bbcollab.com/invite/4fa6cc74571941e295cc8def75828c03
2	2020-10-01 Thursday	4:10	81020	https://ca.bbcollab.com/guest/f69c09bee88746ab9bb2586dfe7cb0cc	https://ca.bbcollab.com/invite/12e08c860a094d7886b9ac01a574286b
3	2020-10-01 Thursday	4:20	60523	https://ca.bbcollab.com/guest/4da6aff9c9f04a5686f549a2e3b97d5e	https://ca.bbcollab.com/invite/95e87401d782438d9aabe9c348c86879
4	2020-10-01 Thursday	4:30	11196	https://ca.bbcollab.com/guest/d4ff9f24ec3e422ca11eaa55446a1d62	https://ca.bbcollab.com/invite/1bd1e8b293844c7fbed78d0a959d508a
5	2020-10-01 Thursday	4:40	30263	https://ca.bbcollab.com/guest/16d6786ef20b4d02b2845041c0afae59	https://ca.bbcollab.com/invite/8eb620fe58e04f1f8f14d11c58072911
6	2020-10-01 Thursday	4:50	39945	https://ca.bbcollab.com/guest/2348f63a4cbf419495b73d3c60ae7169	https://ca.bbcollab.com/invite/02a811bbe51042ef94327e74db405668
7	2020-10-02 Friday	4:00	34785	https://ca.bbcollab.com/guest/d56aef0fee3f442197a825e05415465a	https://ca.bbcollab.com/invite/4fa6cc74571941e295cc8def75828c03
8	2020-10-02 Friday	4:10	90811	https://ca.bbcollab.com/guest/f69c09bee88746ab9bb2586dfe7cb0cc	https://ca.bbcollab.com/invite/12e08c860a094d7886b9ac01a574286b
9	2020-10-02 Friday	4:20	94675	https://ca.bbcollab.com/guest/4da6aff9c9f04a5686f549a2e3b97d5e	https://ca.bbcollab.com/invite/95e87401d782438d9aabe9c348c86879
10	2020-10-02 Friday	4:30	38415	https://ca.bbcollab.com/guest/d4ff9f24ec3e422ca11eaa55446a1d62	https://ca.bbcollab.com/invite/1bd1e8b293844c7fbed78d0a959d508a
11	2020-10-02 Friday	4:40	72428	https://ca.bbcollab.com/guest/16d6786ef20b4d02b2845041c0afae59	https://ca.bbcollab.com/invite/8eb620fe58e04f1f8f14d11c58072911
12	2020-10-02 Friday	4:50	54125	https://ca.bbcollab.com/guest/2348f63a4cbf419495b73d3c60ae7169	https://ca.bbcollab.com/invite/02a811bbe51042ef94327e74db405668
13	2020-10-06 Tuesday	9:00	15082	https://ca.bbcollab.com/guest/d56aef0fee3f442197a825e05415465a	https://ca.bbcollab.com/invite/4fa6cc74571941e295cc8def75828c03
14	2020-10-06 Tuesday	9:10	47906	https://ca.bbcollab.com/guest/f69c09bee88746ab9bb2586dfe7cb0cc	https://ca.bbcollab.com/invite/12e08c860a094d7886b9ac01a574286b
15	2020-10-06 Tuesday	9:20		https://ca.bbcollab.com/guest/4da6aff9c9f04a5686f549a2e3b97d5e	https://ca.bbcollab.com/invite/95e87401d782438d9aabe9c348c86879
