Orig_order	Day	Time	SID-5	Student Link	Instructor Link
16	2020-10-06 Tuesday	9:30	54112	https://ca.bbcollab.com/guest/d4ff9f24ec3e422ca11eaa55446a1d62	https://ca.bbcollab.com/invite/1bd1e8b293844c7fbed78d0a959d508a
17	2020-10-06 Tuesday	9:40	89930	https://ca.bbcollab.com/guest/16d6786ef20b4d02b2845041c0afae59	https://ca.bbcollab.com/invite/8eb620fe58e04f1f8f14d11c58072911
18	2020-10-06 Tuesday	9:50	97077	https://ca.bbcollab.com/guest/2348f63a4cbf419495b73d3c60ae7169	https://ca.bbcollab.com/invite/02a811bbe51042ef94327e74db405668
19	2020-10-07 Wednesday	9:00	23100	https://ca.bbcollab.com/guest/d56aef0fee3f442197a825e05415465a	https://ca.bbcollab.com/invite/4fa6cc74571941e295cc8def75828c03
20	2020-10-07 Wednesday	9:10	23000	https://ca.bbcollab.com/guest/f69c09bee88746ab9bb2586dfe7cb0cc	https://ca.bbcollab.com/invite/12e08c860a094d7886b9ac01a574286b
21	2020-10-07 Wednesday	9:20	23000	https://ca.bbcollab.com/guest/4da6aff9c9f04a5686f549a2e3b97d5e	https://ca.bbcollab.com/invite/95e87401d782438d9aabe9c348c86879
22	2020-10-07 Wednesday	9:30	51697	https://ca.bbcollab.com/guest/d4ff9f24ec3e422ca11eaa55446a1d62	https://ca.bbcollab.com/invite/1bd1e8b293844c7fbed78d0a959d508a
23	2020-10-07 Wednesday	9:40	16758	https://ca.bbcollab.com/guest/16d6786ef20b4d02b2845041c0afae59	https://ca.bbcollab.com/invite/8eb620fe58e04f1f8f14d11c58072911
24	2020-10-07 Wednesday	9:50	12991	https://ca.bbcollab.com/guest/2348f63a4cbf419495b73d3c60ae7169	https://ca.bbcollab.com/invite/02a811bbe51042ef94327e74db405668
24.5	2020-10-09 Friday	3:00	16464	https://ca.bbcollab.com/guest/d56aef0fee3f442197a825e05415465a	https://ca.bbcollab.com/invite/4fa6cc74571941e295cc8def75828c03
25	2020-10-13 Tuesday	9:00		https://ca.bbcollab.com/guest/d56aef0fee3f442197a825e05415465a	https://ca.bbcollab.com/invite/4fa6cc74571941e295cc8def75828c03
26	2020-10-13 Tuesday	9:10	48772	https://ca.bbcollab.com/guest/f69c09bee88746ab9bb2586dfe7cb0cc	https://ca.bbcollab.com/invite/12e08c860a094d7886b9ac01a574286b
27	2020-10-13 Tuesday	9:20		https://ca.bbcollab.com/guest/4da6aff9c9f04a5686f549a2e3b97d5e	https://ca.bbcollab.com/invite/95e87401d782438d9aabe9c348c86879
28	2020-10-13 Tuesday	9:30		https://ca.bbcollab.com/guest/d4ff9f24ec3e422ca11eaa55446a1d62	https://ca.bbcollab.com/invite/1bd1e8b293844c7fbed78d0a959d508a
29	2020-10-13 Tuesday	9:40	83639	https://ca.bbcollab.com/guest/16d6786ef20b4d02b2845041c0afae59	https://ca.bbcollab.com/invite/8eb620fe58e04f1f8f14d11c58072911
30	2020-10-13 Tuesday	9:50	74431	https://ca.bbcollab.com/guest/2348f63a4cbf419495b73d3c60ae7169	https://ca.bbcollab.com/invite/02a811bbe51042ef94327e74db405668
31	2020-10-13 Tuesday	4:00	68935	https://ca.bbcollab.com/guest/d56aef0fee3f442197a825e05415465a	https://ca.bbcollab.com/invite/4fa6cc74571941e295cc8def75828c03
32	2020-10-13 Tuesday	4:10	92054	https://ca.bbcollab.com/guest/f69c09bee88746ab9bb2586dfe7cb0cc	https://ca.bbcollab.com/invite/12e08c860a094d7886b9ac01a574286b
33	2020-10-13 Tuesday	4:20	68058	https://ca.bbcollab.com/guest/4da6aff9c9f04a5686f549a2e3b97d5e	https://ca.bbcollab.com/invite/95e87401d782438d9aabe9c348c86879
34	2020-10-13 Tuesday	4:30		https://ca.bbcollab.com/guest/d4ff9f24ec3e422ca11eaa55446a1d62	https://ca.bbcollab.com/invite/1bd1e8b293844c7fbed78d0a959d508a
35	2020-10-13 Tuesday	4:40		https://ca.bbcollab.com/guest/16d6786ef20b4d02b2845041c0afae59	https://ca.bbcollab.com/invite/8eb620fe58e04f1f8f14d11c58072911
36	2020-10-13 Tuesday	4:50		https://ca.bbcollab.com/guest/2348f63a4cbf419495b73d3c60ae7169	https://ca.bbcollab.com/invite/02a811bbe51042ef94327e74db405668
37	2020-10-14 Wednesday	4:00	44715	https://ca.bbcollab.com/guest/d56aef0fee3f442197a825e05415465a	https://ca.bbcollab.com/invite/4fa6cc74571941e295cc8def75828c03
38	2020-10-14 Wednesday	4:10	34548	https://ca.bbcollab.com/guest/f69c09bee88746ab9bb2586dfe7cb0cc	https://ca.bbcollab.com/invite/12e08c860a094d7886b9ac01a574286b
39	2020-10-14 Wednesday	4:20	78380	https://ca.bbcollab.com/guest/4da6aff9c9f04a5686f549a2e3b97d5e	https://ca.bbcollab.com/invite/95e87401d782438d9aabe9c348c86879
40	2020-10-14 Wednesday	4:30	68382	https://ca.bbcollab.com/guest/d4ff9f24ec3e422ca11eaa55446a1d62	https://ca.bbcollab.com/invite/1bd1e8b293844c7fbed78d0a959d508a
41	2020-10-14 Wednesday	4:40	89289	https://ca.bbcollab.com/guest/16d6786ef20b4d02b2845041c0afae59	https://ca.bbcollab.com/invite/8eb620fe58e04f1f8f14d11c58072911
42	2020-10-14 Wednesday	4:50	99594	https://ca.bbcollab.com/guest/2348f63a4cbf419495b73d3c60ae7169	https://ca.bbcollab.com/invite/02a811bbe51042ef94327e74db405668
43	2020-10-21 Wednesday	4:00	62089	https://ca.bbcollab.com/guest/d56aef0fee3f442197a825e05415465a	https://ca.bbcollab.com/invite/4fa6cc74571941e295cc8def75828c03
44	2020-10-21 Wednesday	4:10	51967	https://ca.bbcollab.com/guest/f69c09bee88746ab9bb2586dfe7cb0cc	https://ca.bbcollab.com/invite/12e08c860a094d7886b9ac01a574286b
45	2020-10-21 Wednesday	4:20	55084	https://ca.bbcollab.com/guest/4da6aff9c9f04a5686f549a2e3b97d5e	https://ca.bbcollab.com/invite/95e87401d782438d9aabe9c348c86879
46	2020-10-21 Wednesday	4:30	60467	https://ca.bbcollab.com/guest/d4ff9f24ec3e422ca11eaa55446a1d62	https://ca.bbcollab.com/invite/1bd1e8b293844c7fbed78d0a959d508a
47	2020-10-21 Wednesday	4:40	74654	https://ca.bbcollab.com/guest/16d6786ef20b4d02b2845041c0afae59	https://ca.bbcollab.com/invite/8eb620fe58e04f1f8f14d11c58072911
48	2020-10-21 Wednesday	4:50	43672	https://ca.bbcollab.com/guest/2348f63a4cbf419495b73d3c60ae7169	https://ca.bbcollab.com/invite/02a811bbe51042ef94327e74db405668
49	2020-10-22 Thursday	4:00	39207	https://ca.bbcollab.com/guest/d56aef0fee3f442197a825e05415465a	https://ca.bbcollab.com/invite/4fa6cc74571941e295cc8def75828c03
50	2020-10-22 Thursday	4:10	67575	https://ca.bbcollab.com/guest/f69c09bee88746ab9bb2586dfe7cb0cc	https://ca.bbcollab.com/invite/12e08c860a094d7886b9ac01a574286b
51	2020-10-22 Thursday	4:20	17487	https://ca.bbcollab.com/guest/4da6aff9c9f04a5686f549a2e3b97d5e	https://ca.bbcollab.com/invite/95e87401d782438d9aabe9c348c86879
52	2020-10-22 Thursday	4:30	67444	https://ca.bbcollab.com/guest/d4ff9f24ec3e422ca11eaa55446a1d62	https://ca.bbcollab.com/invite/1bd1e8b293844c7fbed78d0a959d508a
53	2020-10-22 Thursday	4:40	23071	https://ca.bbcollab.com/guest/16d6786ef20b4d02b2845041c0afae59	https://ca.bbcollab.com/invite/8eb620fe58e04f1f8f14d11c58072911
54	2020-10-22 Thursday	4:50	85086	https://ca.bbcollab.com/guest/2348f63a4cbf419495b73d3c60ae7169	https://ca.bbcollab.com/invite/02a811bbe51042ef94327e74db405668
55	2020-10-28 Wednesday	10:00		https://ca.bbcollab.com/guest/d56aef0fee3f442197a825e05415465a	https://ca.bbcollab.com/invite/4fa6cc74571941e295cc8def75828c03
56	2020-10-28 Wednesday	10:10	36116	https://ca.bbcollab.com/guest/f69c09bee88746ab9bb2586dfe7cb0cc	https://ca.bbcollab.com/invite/12e08c860a094d7886b9ac01a574286b
57	2020-10-28 Wednesday	10:20	83841	https://ca.bbcollab.com/guest/4da6aff9c9f04a5686f549a2e3b97d5e	https://ca.bbcollab.com/invite/95e87401d782438d9aabe9c348c86879
58	2020-10-28 Wednesday	10:30	74752	https://ca.bbcollab.com/guest/d4ff9f24ec3e422ca11eaa55446a1d62	https://ca.bbcollab.com/invite/1bd1e8b293844c7fbed78d0a959d508a
59	2020-10-28 Wednesday	10:40	17335	https://ca.bbcollab.com/guest/16d6786ef20b4d02b2845041c0afae59	https://ca.bbcollab.com/invite/8eb620fe58e04f1f8f14d11c58072911
60	2020-10-28 Wednesday	10:50		https://ca.bbcollab.com/guest/2348f63a4cbf419495b73d3c60ae7169	https://ca.bbcollab.com/invite/02a811bbe51042ef94327e74db405668
61	2020-10-28 Wednesday	4:00	33446	https://ca.bbcollab.com/guest/d56aef0fee3f442197a825e05415465a	https://ca.bbcollab.com/invite/4fa6cc74571941e295cc8def75828c03
62	2020-10-28 Wednesday	4:10	27762	https://ca.bbcollab.com/guest/f69c09bee88746ab9bb2586dfe7cb0cc	https://ca.bbcollab.com/invite/12e08c860a094d7886b9ac01a574286b
63	2020-10-28 Wednesday	4:20	52421	https://ca.bbcollab.com/guest/4da6aff9c9f04a5686f549a2e3b97d5e	https://ca.bbcollab.com/invite/95e87401d782438d9aabe9c348c86879
64	2020-10-28 Wednesday	4:30	56567	https://ca.bbcollab.com/guest/d4ff9f24ec3e422ca11eaa55446a1d62	https://ca.bbcollab.com/invite/1bd1e8b293844c7fbed78d0a959d508a
65	2020-10-28 Wednesday	4:40	36273	https://ca.bbcollab.com/guest/16d6786ef20b4d02b2845041c0afae59	https://ca.bbcollab.com/invite/8eb620fe58e04f1f8f14d11c58072911
66	2020-10-28 Wednesday	4:50	19711	https://ca.bbcollab.com/guest/2348f63a4cbf419495b73d3c60ae7169	https://ca.bbcollab.com/invite/02a811bbe51042ef94327e74db405668
67	2020-11-02 Monday	4:00	78680	https://ca.bbcollab.com/guest/d56aef0fee3f442197a825e05415465a	https://ca.bbcollab.com/invite/4fa6cc74571941e295cc8def75828c03
68	2020-11-02 Monday	4:10	13570	https://ca.bbcollab.com/guest/f69c09bee88746ab9bb2586dfe7cb0cc	https://ca.bbcollab.com/invite/12e08c860a094d7886b9ac01a574286b
69	2020-11-02 Monday	4:20	53176	https://ca.bbcollab.com/guest/4da6aff9c9f04a5686f549a2e3b97d5e	https://ca.bbcollab.com/invite/95e87401d782438d9aabe9c348c86879
70	2020-11-02 Monday	4:30	44365	https://ca.bbcollab.com/guest/d4ff9f24ec3e422ca11eaa55446a1d62	https://ca.bbcollab.com/invite/1bd1e8b293844c7fbed78d0a959d508a
71	2020-11-02 Monday	4:40	43119	https://ca.bbcollab.com/guest/16d6786ef20b4d02b2845041c0afae59	https://ca.bbcollab.com/invite/8eb620fe58e04f1f8f14d11c58072911
72	2020-11-02 Monday	4:50	24476	https://ca.bbcollab.com/guest/2348f63a4cbf419495b73d3c60ae7169	https://ca.bbcollab.com/invite/02a811bbe51042ef94327e74db405668
73	2020-11-03 Tuesday	4:00	43803	https://ca.bbcollab.com/guest/d56aef0fee3f442197a825e05415465a	https://ca.bbcollab.com/invite/4fa6cc74571941e295cc8def75828c03
74	2020-11-03 Tuesday	4:10	18870	https://ca.bbcollab.com/guest/f69c09bee88746ab9bb2586dfe7cb0cc	https://ca.bbcollab.com/invite/12e08c860a094d7886b9ac01a574286b
75	2020-11-03 Tuesday	4:20		https://ca.bbcollab.com/guest/4da6aff9c9f04a5686f549a2e3b97d5e	https://ca.bbcollab.com/invite/95e87401d782438d9aabe9c348c86879
76	2020-11-03 Tuesday	4:30	28926	https://ca.bbcollab.com/guest/d4ff9f24ec3e422ca11eaa55446a1d62	https://ca.bbcollab.com/invite/1bd1e8b293844c7fbed78d0a959d508a
77	2020-11-03 Tuesday	4:40	83324	https://ca.bbcollab.com/guest/16d6786ef20b4d02b2845041c0afae59	https://ca.bbcollab.com/invite/8eb620fe58e04f1f8f14d11c58072911
78	2020-11-03 Tuesday	4:50	80815	https://ca.bbcollab.com/guest/2348f63a4cbf419495b73d3c60ae7169	https://ca.bbcollab.com/invite/02a811bbe51042ef94327e74db405668
79	2020-11-04 Wednesday	4:00	44746	https://ca.bbcollab.com/guest/d56aef0fee3f442197a825e05415465a	https://ca.bbcollab.com/invite/4fa6cc74571941e295cc8def75828c03
80	2020-11-04 Wednesday	4:10	74752	https://ca.bbcollab.com/guest/f69c09bee88746ab9bb2586dfe7cb0cc	https://ca.bbcollab.com/invite/12e08c860a094d7886b9ac01a574286b
81	2020-11-04 Wednesday	4:20	94263	https://ca.bbcollab.com/guest/4da6aff9c9f04a5686f549a2e3b97d5e	https://ca.bbcollab.com/invite/95e87401d782438d9aabe9c348c86879
82	2020-11-04 Wednesday	4:30	70875	https://ca.bbcollab.com/guest/d4ff9f24ec3e422ca11eaa55446a1d62	https://ca.bbcollab.com/invite/1bd1e8b293844c7fbed78d0a959d508a
83	2020-11-04 Wednesday	4:40	12377	https://ca.bbcollab.com/guest/16d6786ef20b4d02b2845041c0afae59	https://ca.bbcollab.com/invite/8eb620fe58e04f1f8f14d11c58072911
84	2020-11-04 Wednesday	4:50	36593	https://ca.bbcollab.com/guest/2348f63a4cbf419495b73d3c60ae7169	https://ca.bbcollab.com/invite/02a811bbe51042ef94327e74db405668
85	2020-11-10 Tuesday	9:00	29164	https://ca.bbcollab.com/guest/d56aef0fee3f442197a825e05415465a	https://ca.bbcollab.com/invite/4fa6cc74571941e295cc8def75828c03
86	2020-11-10 Tuesday	9:10	17357	https://ca.bbcollab.com/guest/f69c09bee88746ab9bb2586dfe7cb0cc	https://ca.bbcollab.com/invite/12e08c860a094d7886b9ac01a574286b
87	2020-11-10 Tuesday	9:20	45517	https://ca.bbcollab.com/guest/4da6aff9c9f04a5686f549a2e3b97d5e	https://ca.bbcollab.com/invite/95e87401d782438d9aabe9c348c86879
88	2020-11-10 Tuesday	9:30	37843	https://ca.bbcollab.com/guest/d4ff9f24ec3e422ca11eaa55446a1d62	https://ca.bbcollab.com/invite/1bd1e8b293844c7fbed78d0a959d508a
89	2020-11-10 Tuesday	9:40	17359	https://ca.bbcollab.com/guest/16d6786ef20b4d02b2845041c0afae59	https://ca.bbcollab.com/invite/8eb620fe58e04f1f8f14d11c58072911
90	2020-11-10 Tuesday	9:50	38755	https://ca.bbcollab.com/guest/2348f63a4cbf419495b73d3c60ae7169	https://ca.bbcollab.com/invite/02a811bbe51042ef94327e74db405668
91	2020-11-13 Friday	4:00	45248	https://ca.bbcollab.com/guest/d56aef0fee3f442197a825e05415465a	https://ca.bbcollab.com/invite/4fa6cc74571941e295cc8def75828c03
92	2020-11-13 Friday	4:10	99531	https://ca.bbcollab.com/guest/f69c09bee88746ab9bb2586dfe7cb0cc	https://ca.bbcollab.com/invite/12e08c860a094d7886b9ac01a574286b
93	2020-11-13 Friday	4:20	51191	https://ca.bbcollab.com/guest/4da6aff9c9f04a5686f549a2e3b97d5e	https://ca.bbcollab.com/invite/95e87401d782438d9aabe9c348c86879
94	2020-11-13 Friday	4:30	11925	https://ca.bbcollab.com/guest/d4ff9f24ec3e422ca11eaa55446a1d62	https://ca.bbcollab.com/invite/1bd1e8b293844c7fbed78d0a959d508a
95	2020-11-13 Friday	4:40	43736	https://ca.bbcollab.com/guest/16d6786ef20b4d02b2845041c0afae59	https://ca.bbcollab.com/invite/8eb620fe58e04f1f8f14d11c58072911
96	2020-11-13 Friday	4:50	74115	https://ca.bbcollab.com/guest/2348f63a4cbf419495b73d3c60ae7169	https://ca.bbcollab.com/invite/02a811bbe51042ef94327e74db405668
97	2020-11-16 Monday	4:00	11661	https://ca.bbcollab.com/guest/d56aef0fee3f442197a825e05415465a	https://ca.bbcollab.com/invite/4fa6cc74571941e295cc8def75828c03
98	2020-11-16 Monday	4:10	79667	https://ca.bbcollab.com/guest/f69c09bee88746ab9bb2586dfe7cb0cc	https://ca.bbcollab.com/invite/12e08c860a094d7886b9ac01a574286b
99	2020-11-16 Monday	4:20	52900	https://ca.bbcollab.com/guest/4da6aff9c9f04a5686f549a2e3b97d5e	https://ca.bbcollab.com/invite/95e87401d782438d9aabe9c348c86879
100	2020-11-16 Monday	4:30	67535	https://ca.bbcollab.com/guest/d4ff9f24ec3e422ca11eaa55446a1d62	https://ca.bbcollab.com/invite/1bd1e8b293844c7fbed78d0a959d508a
101	2020-11-16 Monday	4:40	30794	https://ca.bbcollab.com/guest/16d6786ef20b4d02b2845041c0afae59	https://ca.bbcollab.com/invite/8eb620fe58e04f1f8f14d11c58072911
102	2020-11-16 Monday	4:50	74145	https://ca.bbcollab.com/guest/2348f63a4cbf419495b73d3c60ae7169	https://ca.bbcollab.com/invite/02a811bbe51042ef94327e74db405668
103	2020-11-17 Tuesday	4:00	42792	https://ca.bbcollab.com/guest/d56aef0fee3f442197a825e05415465a	https://ca.bbcollab.com/invite/4fa6cc74571941e295cc8def75828c03
104	2020-11-17 Tuesday	4:10	94549	https://ca.bbcollab.com/guest/f69c09bee88746ab9bb2586dfe7cb0cc	https://ca.bbcollab.com/invite/12e08c860a094d7886b9ac01a574286b
105	2020-11-17 Tuesday	4:20	59669	https://ca.bbcollab.com/guest/4da6aff9c9f04a5686f549a2e3b97d5e	https://ca.bbcollab.com/invite/95e87401d782438d9aabe9c348c86879
106	2020-11-17 Tuesday	4:30	67125	https://ca.bbcollab.com/guest/d4ff9f24ec3e422ca11eaa55446a1d62	https://ca.bbcollab.com/invite/1bd1e8b293844c7fbed78d0a959d508a
107	2020-11-17 Tuesday	4:40	96220	https://ca.bbcollab.com/guest/16d6786ef20b4d02b2845041c0afae59	https://ca.bbcollab.com/invite/8eb620fe58e04f1f8f14d11c58072911
108	2020-11-17 Tuesday	4:50	16922	https://ca.bbcollab.com/guest/2348f63a4cbf419495b73d3c60ae7169	https://ca.bbcollab.com/invite/02a811bbe51042ef94327e74db405668
109	2020-11-18 Wednesday	9:00	61058	https://ca.bbcollab.com/guest/d56aef0fee3f442197a825e05415465a	https://ca.bbcollab.com/invite/4fa6cc74571941e295cc8def75828c03
110	2020-11-18 Wednesday	9:10	49816	https://ca.bbcollab.com/guest/f69c09bee88746ab9bb2586dfe7cb0cc	https://ca.bbcollab.com/invite/12e08c860a094d7886b9ac01a574286b
111	2020-11-18 Wednesday	9:20	33428	https://ca.bbcollab.com/guest/4da6aff9c9f04a5686f549a2e3b97d5e	https://ca.bbcollab.com/invite/95e87401d782438d9aabe9c348c86879
112	2020-11-18 Wednesday	9:30	56051	https://ca.bbcollab.com/guest/d4ff9f24ec3e422ca11eaa55446a1d62	https://ca.bbcollab.com/invite/1bd1e8b293844c7fbed78d0a959d508a
113	2020-11-18 Wednesday	9:40	35405	https://ca.bbcollab.com/guest/16d6786ef20b4d02b2845041c0afae59	https://ca.bbcollab.com/invite/8eb620fe58e04f1f8f14d11c58072911
114	2020-11-18 Wednesday	9:50	34236	https://ca.bbcollab.com/guest/2348f63a4cbf419495b73d3c60ae7169	https://ca.bbcollab.com/invite/02a811bbe51042ef94327e74db405668
115	2020-11-18 Wednesday	4:00	40922	https://ca.bbcollab.com/guest/d56aef0fee3f442197a825e05415465a	https://ca.bbcollab.com/invite/4fa6cc74571941e295cc8def75828c03
116	2020-11-18 Wednesday	4:10	48894	https://ca.bbcollab.com/guest/f69c09bee88746ab9bb2586dfe7cb0cc	https://ca.bbcollab.com/invite/12e08c860a094d7886b9ac01a574286b
117	2020-11-18 Wednesday	4:20	98910	https://ca.bbcollab.com/guest/4da6aff9c9f04a5686f549a2e3b97d5e	https://ca.bbcollab.com/invite/95e87401d782438d9aabe9c348c86879
118	2020-11-18 Wednesday	4:30	56149	https://ca.bbcollab.com/guest/d4ff9f24ec3e422ca11eaa55446a1d62	https://ca.bbcollab.com/invite/1bd1e8b293844c7fbed78d0a959d508a
119	2020-11-18 Wednesday	4:40	41381	https://ca.bbcollab.com/guest/16d6786ef20b4d02b2845041c0afae59	https://ca.bbcollab.com/invite/8eb620fe58e04f1f8f14d11c58072911
120	2020-11-18 Wednesday	4:50	50775	https://ca.bbcollab.com/guest/2348f63a4cbf419495b73d3c60ae7169	https://ca.bbcollab.com/invite/02a811bbe51042ef94327e74db405668
121	2020-11-24 Tuesday	4:00	23286	https://ca.bbcollab.com/guest/d56aef0fee3f442197a825e05415465a	https://ca.bbcollab.com/invite/4fa6cc74571941e295cc8def75828c03
122	2020-11-24 Tuesday	4:10	38245	https://ca.bbcollab.com/guest/f69c09bee88746ab9bb2586dfe7cb0cc	https://ca.bbcollab.com/invite/12e08c860a094d7886b9ac01a574286b
123	2020-11-24 Tuesday	4:20	60352	https://ca.bbcollab.com/guest/4da6aff9c9f04a5686f549a2e3b97d5e	https://ca.bbcollab.com/invite/95e87401d782438d9aabe9c348c86879
124	2020-11-24 Tuesday	4:30	78265	https://ca.bbcollab.com/guest/d4ff9f24ec3e422ca11eaa55446a1d62	https://ca.bbcollab.com/invite/1bd1e8b293844c7fbed78d0a959d508a
125	2020-11-24 Tuesday	4:40		https://ca.bbcollab.com/guest/16d6786ef20b4d02b2845041c0afae59	https://ca.bbcollab.com/invite/8eb620fe58e04f1f8f14d11c58072911
126	2020-11-24 Tuesday	4:50		https://ca.bbcollab.com/guest/2348f63a4cbf419495b73d3c60ae7169	https://ca.bbcollab.com/invite/02a811bbe51042ef94327e74db405668
127	2020-11-25 Wednesday	10:00		https://ca.bbcollab.com/guest/d56aef0fee3f442197a825e05415465a	https://ca.bbcollab.com/invite/4fa6cc74571941e295cc8def75828c03
128	2020-11-25 Wednesday	10:10	36116	https://ca.bbcollab.com/guest/f69c09bee88746ab9bb2586dfe7cb0cc	https://ca.bbcollab.com/invite/12e08c860a094d7886b9ac01a574286b
129	2020-11-25 Wednesday	10:20	51557	https://ca.bbcollab.com/guest/4da6aff9c9f04a5686f549a2e3b97d5e	https://ca.bbcollab.com/invite/95e87401d782438d9aabe9c348c86879
130	2020-11-25 Wednesday	10:30	76173	https://ca.bbcollab.com/guest/d4ff9f24ec3e422ca11eaa55446a1d62	https://ca.bbcollab.com/invite/1bd1e8b293844c7fbed78d0a959d508a
131	2020-11-25 Wednesday	10:40		https://ca.bbcollab.com/guest/16d6786ef20b4d02b2845041c0afae59	https://ca.bbcollab.com/invite/8eb620fe58e04f1f8f14d11c58072911
132	2020-11-25 Wednesday	10:50		https://ca.bbcollab.com/guest/2348f63a4cbf419495b73d3c60ae7169	https://ca.bbcollab.com/invite/02a811bbe51042ef94327e74db405668
133	2020-11-25 Wednesday	4:00	71052	https://ca.bbcollab.com/guest/d56aef0fee3f442197a825e05415465a	https://ca.bbcollab.com/invite/4fa6cc74571941e295cc8def75828c03
134	2020-11-25 Wednesday	4:10	65295	https://ca.bbcollab.com/guest/f69c09bee88746ab9bb2586dfe7cb0cc	https://ca.bbcollab.com/invite/12e08c860a094d7886b9ac01a574286b
135	2020-11-25 Wednesday	4:20	17393	https://ca.bbcollab.com/guest/4da6aff9c9f04a5686f549a2e3b97d5e	https://ca.bbcollab.com/invite/95e87401d782438d9aabe9c348c86879
136	2020-11-25 Wednesday	4:30		https://ca.bbcollab.com/guest/d4ff9f24ec3e422ca11eaa55446a1d62	https://ca.bbcollab.com/invite/1bd1e8b293844c7fbed78d0a959d508a
137	2020-11-25 Wednesday	4:40		https://ca.bbcollab.com/guest/16d6786ef20b4d02b2845041c0afae59	https://ca.bbcollab.com/invite/8eb620fe58e04f1f8f14d11c58072911
138	2020-11-25 Wednesday	4:50		https://ca.bbcollab.com/guest/2348f63a4cbf419495b73d3c60ae7169	https://ca.bbcollab.com/invite/02a811bbe51042ef94327e74db405668
139	2020-11-26 Thursday	4:00	48044	https://ca.bbcollab.com/guest/d56aef0fee3f442197a825e05415465a	https://ca.bbcollab.com/invite/4fa6cc74571941e295cc8def75828c03
140	2020-11-26 Thursday	4:10	37070	https://ca.bbcollab.com/guest/f69c09bee88746ab9bb2586dfe7cb0cc	https://ca.bbcollab.com/invite/12e08c860a094d7886b9ac01a574286b
141	2020-11-26 Thursday	4:20	94988	https://ca.bbcollab.com/guest/4da6aff9c9f04a5686f549a2e3b97d5e	https://ca.bbcollab.com/invite/95e87401d782438d9aabe9c348c86879
142	2020-11-26 Thursday	4:30	94988	https://ca.bbcollab.com/guest/d4ff9f24ec3e422ca11eaa55446a1d62	https://ca.bbcollab.com/invite/1bd1e8b293844c7fbed78d0a959d508a
143	2020-11-26 Thursday	4:40	22413	https://ca.bbcollab.com/guest/16d6786ef20b4d02b2845041c0afae59	https://ca.bbcollab.com/invite/8eb620fe58e04f1f8f14d11c58072911
