Person	Topic	Difficulty	Source	Question_latex	Image1	Image1Caption	Image2	Image2Caption
16464	Articulatory Phonetics	hard	Day 2 Handout, Part II, Question 3	Explain why the additional vowel below either does or does not belong in the phonetic natural class defined by the original set of SNAE vowels.\\~\\Original set: {[ɛ]}, {[ɪ]}, {[ʊ]}, {[ɔ]}~\\Addition: {[æ]}~\\ 				
16464	Syllables	medium	Day 11 Handout, Question 10	Explain why this structure either is or is not a correct application of the templatic-based approach to syllabification, using the provided template and assuming that syllabification proceeds from left to right.\\~\\\begin{figure}[H] \includegraphics{../images/pengtemplate_uvkeman_no.png} \end{figure} \begin{figure}[H] \includegraphics{../images/peng_template_withdiagram.png} \end{figure}~\\	pengtemplate_uvkeman_no.png		peng_template_withdiagram.png	
