Person	Topic	Difficulty	Source	Question_latex	Image1	Image1Caption	Image2	Image2Caption
23100	Other (pre-midterm)	medium	Day 3 Handout, Question 3	Explain how you would figure out what the Luiseño form is for the morpheme whose meaning is given below. (To be clear: you do NOT necessarily need to give me the form itself -- just explain the process of figuring it out.)\\~\\‘sun’ (or ‘the sun’)~\\\begin{figure}[H] \includegraphics{../images/luiseno.png} \end{figure}~\\	luiseno.png			
23100	Transcription	hard	Day 2 Handout	Is this a reasonable transcription of this word? Explain why.\\~\\<paid>: {[peid]}~\\ 				
